Year,Date,Geography Name,CBSA Code,Households,Median Household Income,Industrial Employment,Office Employment,Population,rent,Total Employment,Market Cap Rate,National index,Emp_house_perc,Ind_perc,Rent Burden,Office_perc,Emp_perc,Market Sale Price Index
2013,2013 Q1,Abilene - TX,10180,62625,43598,8261,8976,168660,636,66310,0.074,167.895,1.058842315,0.124581511,0.175053902,0.135364198,0.393157832,140.7
2013,2013 Q2,Abilene - TX,10180,62793,43931,8420,9269,168757,647,66812,0.077,170.847,1.064003949,0.126025265,0.176731693,0.138732563,0.39590654,142.1
2013,2013 Q3,Abilene - TX,10180,62967,44249,8358,9203,168867,649,66684,0.077,174.843,1.059030921,0.125337412,0.176003977,0.138009118,0.394890654,142.4
2013,2013 Q4,Abilene - TX,10180,62828,44149,8507,9141,169184,647,67097,0.077,179.585,1.067947412,0.126786593,0.175859023,0.136235599,0.396591876,143.6
2014,2014 Q1,Abilene - TX,10180,62694,44065,8514,9062,169510,649,67133,0.077,178.105,1.070804224,0.126822874,0.176738908,0.134985775,0.396041531,145.6
2014,2014 Q2,Abilene - TX,10180,62558,43971,8905,9185,169829,659,67674,0.076,177.846,1.081780108,0.131586725,0.179845807,0.135724207,0.39848318,148.5
2014,2014 Q3,Abilene - TX,10180,62425,44078,8822,9447,170153,658,67944,0.075,188.242,1.088410092,0.129842223,0.179136984,0.139040975,0.399311208,151.4
2014,2014 Q4,Abilene - TX,10180,62311,44303,8569,9546,170591,664,67953,0.074,197.586,1.090545811,0.126101865,0.17985238,0.140479449,0.398338717,154.9
2015,2015 Q1,Abilene - TX,10180,62194,45149,8564,9509,171018,672,67948,0.073,202.087,1.092516963,0.126037558,0.178608607,0.139945252,0.397314903,158.4
2015,2015 Q2,Abilene - TX,10180,62077,45948,8359,9340,171441,680,68006,0.073,207.296,1.095510414,0.122915625,0.177592061,0.137340823,0.396672908,161.5
2015,2015 Q3,Abilene - TX,10180,61960,46728,8299,9244,171865,686,67879,0.073,210.891,1.095529374,0.122261672,0.176168464,0.136183503,0.394955343,163.9
2015,2015 Q4,Abilene - TX,10180,61960,47420,8161,9283,172026,689,67899,0.072,214.388,1.095852163,0.120193228,0.174356811,0.136717772,0.394701964,165.8
2016,2016 Q1,Abilene - TX,10180,61961,47529,7678,9438,172189,681,67703,0.072,219.31,1.092671196,0.113407087,0.171937133,0.139402981,0.393190041,166
2016,2016 Q2,Abilene - TX,10180,61963,47568,7319,9374,172357,686,67076,0.073,224.233,1.082516986,0.109115034,0.173057518,0.139751923,0.389168992,165.4
2016,2016 Q3,Abilene - TX,10180,61958,47742,7343,9284,172504,677,67689,0.076,228.674,1.092498144,0.108481437,0.170164635,0.137156702,0.392390901,166.1
2016,2016 Q4,Abilene - TX,10180,62588,48016,7425,9098,172681,675,67849,0.074,230.972,1.084057647,0.109434185,0.168693769,0.13409188,0.39291526,169
2017,2017 Q1,Abilene - TX,10180,63227,49033,7500,9170,172854,699,68297,0.073,232.78,1.080187262,0.109814487,0.171068464,0.134266512,0.395113795,174.2
2017,2017 Q2,Abilene - TX,10180,63870,50059,7403,9285,173005,699,68506,0.072,237.067,1.072584938,0.108063527,0.167562277,0.135535574,0.395976995,178.4
2017,2017 Q3,Abilene - TX,10180,64524,50688,7435,9421,173154,704,68611,0.072,242.658,1.063340772,0.108364548,0.166666667,0.137310344,0.396242651,181.8
